"partition_description", "runtime (milliseconds)"
c_acctbal-l_shipdate-n_regionkey,87262
c_acctbal-l_shipinstruct-n_name,72300
c_acctbal-l_shipinstruct-n_nationkey,70778
c_acctbal-l_shipinstruct-n_regionkey,71748
c_acctbal-l_shipmode-n_name,73371
c_acctbal-l_shipmode-n_nationkey,73963
c_acctbal-l_shipmode-n_regionkey,71677
c_mktsegment-l_commitdate-n_name,44249
c_mktsegment-l_commitdate-n_nationkey,50926
c_mktsegment-l_commitdate-n_regionkey,46801
c_mktsegment-l_discount-n_name,26820
c_mktsegment-l_discount-n_nationkey,26223
c_mktsegment-l_discount-n_regionkey,25665
c_mktsegment-l_quantity-n_name,30067
c_mktsegment-l_quantity-n_nationkey,27725
c_mktsegment-l_quantity-n_regionkey,27758
c_mktsegment-l_receiptdate-n_name,45742
c_mktsegment-l_receiptdate-n_nationkey,46624
c_mktsegment-l_receiptdate-n_regionkey,43344
c_mktsegment-l_returnflag-n_name,23957
c_mktsegment-l_returnflag-n_nationkey,24299
c_mktsegment-l_returnflag-n_regionkey,24031
c_mktsegment-l_shipdate-n_name,41551
c_mktsegment-l_shipdate-n_nationkey,40299
c_mktsegment-l_shipdate-n_regionkey,41771
c_mktsegment-l_shipinstruct-n_name,24489
c_mktsegment-l_shipinstruct-n_nationkey,24434
c_mktsegment-l_shipinstruct-n_regionkey,24767
c_mktsegment-l_shipmode-n_name,24453
c_mktsegment-l_shipmode-n_nationkey,25382
c_mktsegment-l_shipmode-n_regionkey,25311
c_nationkey-l_commitdate-n_name,49586
c_nationkey-l_commitdate-n_nationkey,49852
c_nationkey-l_commitdate-n_regionkey,43715
c_nationkey-l_discount-n_name,25778
c_nationkey-l_discount-n_nationkey,29528
c_nationkey-l_discount-n_regionkey,25716
c_nationkey-l_quantity-n_name,27598
c_nationkey-l_quantity-n_nationkey,30081
c_nationkey-l_quantity-n_regionkey,28425
c_nationkey-l_receiptdate-n_name,47434
c_nationkey-l_receiptdate-n_nationkey,46910
c_nationkey-l_receiptdate-n_regionkey,46778
c_nationkey-l_returnflag-n_name,24318
c_nationkey-l_returnflag-n_nationkey,23862
c_nationkey-l_returnflag-n_regionkey,23913
c_nationkey-l_shipdate-n_name,43484
c_nationkey-l_shipdate-n_nationkey,40907
c_nationkey-l_shipdate-n_regionkey,44944
c_nationkey-l_shipinstruct-n_name,24636
c_nationkey-l_shipinstruct-n_nationkey,24048
c_nationkey-l_shipinstruct-n_regionkey,24803
c_nationkey-l_shipmode-n_name,25708
c_nationkey-l_shipmode-n_nationkey,26557
c_nationkey-l_shipmode-n_regionkey,26526
c_phone-l_commitdate-n_name,95303
c_phone-l_commitdate-n_nationkey,94507
c_phone-l_commitdate-n_regionkey,92915
c_phone-l_discount-n_name,74183
c_phone-l_discount-n_nationkey,73096
c_phone-l_discount-n_regionkey,72643
c_phone-l_quantity-n_name,75393
c_phone-l_quantity-n_nationkey,76683
c_phone-l_quantity-n_regionkey,74390
c_phone-l_receiptdate-n_name,94696
c_phone-l_receiptdate-n_nationkey,92502
c_phone-l_receiptdate-n_regionkey,92587
c_phone-l_returnflag-n_name,73126
c_phone-l_returnflag-n_nationkey,74128
c_phone-l_returnflag-n_regionkey,72725
c_phone-l_shipdate-n_name,89116
c_phone-l_shipdate-n_nationkey,90014
c_phone-l_shipdate-n_regionkey,90373
c_phone-l_shipinstruct-n_name,71952
c_phone-l_shipinstruct-n_nationkey,72370
c_phone-l_shipinstruct-n_regionkey,71722
c_phone-l_shipmode-n_name,71029
c_phone-l_shipmode-n_nationkey,73051
c_phone-l_shipmode-n_regionkey,70211
c_acctbal-l_commitdate-o_orderdate,97592
c_acctbal-l_commitdate-o_orderpriority,92891
c_acctbal-l_commitdate-o_orderstatus,90418
c_acctbal-l_discount-o_orderdate,83655
c_acctbal-l_discount-o_orderpriority,70495
c_acctbal-l_discount-o_orderstatus,75281
c_acctbal-l_quantity-o_orderdate,81461
c_acctbal-l_quantity-o_orderpriority,75057
c_acctbal-l_quantity-o_orderstatus,75347
c_acctbal-l_receiptdate-o_orderdate,101385
c_acctbal-l_receiptdate-o_orderpriority,90483
c_acctbal-l_receiptdate-o_orderstatus,92770
c_acctbal-l_returnflag-o_orderdate,77272
c_acctbal-l_returnflag-o_orderpriority,73104
c_acctbal-l_returnflag-o_orderstatus,72165
c_acctbal-l_shipdate-o_orderdate,92463
c_acctbal-l_shipdate-o_orderpriority,92220
c_acctbal-l_shipdate-o_orderstatus,92342
c_acctbal-l_shipinstruct-o_orderdate,78087
c_acctbal-l_shipinstruct-o_orderpriority,73486
c_acctbal-l_shipinstruct-o_orderstatus,72106
c_acctbal-l_shipmode-o_orderdate,76268
c_acctbal-l_shipmode-o_orderpriority,73024
c_acctbal-l_shipmode-o_orderstatus,72904
c_mktsegment-l_commitdate-o_orderdate,51862
c_mktsegment-l_commitdate-o_orderpriority,46927
c_mktsegment-l_commitdate-o_orderstatus,43080
c_mktsegment-l_discount-o_orderdate,33792
c_mktsegment-l_discount-o_orderpriority,26229
c_mktsegment-l_discount-o_orderstatus,26104
c_mktsegment-l_quantity-o_orderdate,39551
c_mktsegment-l_quantity-o_orderpriority,27793
c_mktsegment-l_quantity-o_orderstatus,27753
c_mktsegment-l_receiptdate-o_orderdate,54407
c_mktsegment-l_receiptdate-o_orderpriority,44045
c_mktsegment-l_receiptdate-o_orderstatus,46184
c_mktsegment-l_returnflag-o_orderdate,32087
c_mktsegment-l_returnflag-o_orderpriority,23148
c_mktsegment-l_returnflag-o_orderstatus,23711
c_mktsegment-l_shipdate-o_orderdate,52602
c_mktsegment-l_shipdate-o_orderpriority,43779
c_mktsegment-l_shipdate-o_orderstatus,41016
c_mktsegment-l_shipinstruct-o_orderdate,31952
c_mktsegment-l_shipinstruct-o_orderpriority,25081
c_mktsegment-l_shipinstruct-o_orderstatus,26716
c_mktsegment-l_shipmode-o_orderdate,32092
c_mktsegment-l_shipmode-o_orderpriority,24210
c_mktsegment-l_shipmode-o_orderstatus,25102
c_nationkey-l_commitdate-o_orderdate,52308
c_nationkey-l_commitdate-o_orderpriority,47152
c_nationkey-l_commitdate-o_orderstatus,47901
c_nationkey-l_discount-o_orderdate,33322
c_nationkey-l_discount-o_orderpriority,27789
c_nationkey-l_discount-o_orderstatus,25541
c_nationkey-l_quantity-o_orderdate,35310
c_nationkey-l_quantity-o_orderpriority,28757
c_nationkey-l_quantity-o_orderstatus,28611
c_nationkey-l_receiptdate-o_orderdate,53733
c_nationkey-l_receiptdate-o_orderpriority,46284
c_nationkey-l_receiptdate-o_orderstatus,44819
c_nationkey-l_returnflag-o_orderdate,32203
c_nationkey-l_returnflag-o_orderpriority,23817
c_nationkey-l_returnflag-o_orderstatus,24831
c_nationkey-l_shipdate-o_orderdate,50441
c_nationkey-l_shipdate-o_orderpriority,45769
c_nationkey-l_shipdate-o_orderstatus,42160
c_nationkey-l_shipinstruct-o_orderdate,31831
c_nationkey-l_shipinstruct-o_orderpriority,24306
c_nationkey-l_shipinstruct-o_orderstatus,25375
c_nationkey-l_shipmode-o_orderdate,32271
c_nationkey-l_shipmode-o_orderpriority,28445
c_nationkey-l_shipmode-o_orderstatus,24861
c_phone-l_commitdate-o_orderdate,96711
c_phone-l_commitdate-o_orderpriority,93920
c_phone-l_commitdate-o_orderstatus,90888
c_phone-l_discount-o_orderdate,78389
c_phone-l_discount-o_orderpriority,74863
c_phone-l_discount-o_orderstatus,72999
c_phone-l_quantity-o_orderdate,83872
c_phone-l_quantity-o_orderpriority,78194
c_phone-l_quantity-o_orderstatus,75025
c_phone-l_receiptdate-o_orderdate,97239
c_phone-l_receiptdate-o_orderpriority,91130
c_phone-l_receiptdate-o_orderstatus,91046
c_phone-l_returnflag-o_orderdate,77600
c_phone-l_returnflag-o_orderpriority,70693
c_phone-l_returnflag-o_orderstatus,71964
c_phone-l_shipdate-o_orderdate,92989
c_phone-l_shipdate-o_orderpriority,88451
c_phone-l_shipdate-o_orderstatus,92261
c_phone-l_shipinstruct-o_orderdate,78545
c_phone-l_shipinstruct-o_orderpriority,72428
c_phone-l_shipinstruct-o_orderstatus,72986
