"partition_description", "runtime (milliseconds)"
l_discount-n_nationkey-ps_supplycost,196445
l_discount-n_regionkey-ps_availqty,61029
l_discount-n_regionkey-ps_supplycost,196064
l_quantity-n_name-ps_availqty,59394
l_quantity-n_name-ps_supplycost,196111
l_quantity-n_nationkey-ps_availqty,58087
l_quantity-n_nationkey-ps_supplycost,203110
l_quantity-n_regionkey-ps_availqty,57523
l_quantity-n_regionkey-ps_supplycost,202930
l_receiptdate-n_name-ps_availqty,81069
l_receiptdate-n_name-ps_supplycost,218604
l_receiptdate-n_nationkey-ps_availqty,74898
l_receiptdate-n_nationkey-ps_supplycost,209821
l_receiptdate-n_regionkey-ps_availqty,73557
l_receiptdate-n_regionkey-ps_supplycost,219677
l_returnflag-n_name-ps_availqty,59296
l_returnflag-n_name-ps_supplycost,195794
l_returnflag-n_nationkey-ps_availqty,60977
l_returnflag-n_nationkey-ps_supplycost,197482
l_returnflag-n_regionkey-ps_availqty,59697
l_returnflag-n_regionkey-ps_supplycost,195465
l_shipdate-n_name-ps_availqty,82423
l_shipdate-n_name-ps_supplycost,214824
l_shipdate-n_nationkey-ps_availqty,76682
l_shipdate-n_nationkey-ps_supplycost,214131
l_shipdate-n_regionkey-ps_availqty,69584
l_shipdate-n_regionkey-ps_supplycost,212426
l_shipinstruct-n_name-ps_availqty,63372
l_shipinstruct-n_name-ps_supplycost,199052
l_shipinstruct-n_nationkey-ps_availqty,64696
l_shipinstruct-n_nationkey-ps_supplycost,199270
l_shipinstruct-n_regionkey-ps_availqty,61715
l_shipinstruct-n_regionkey-ps_supplycost,200384
l_shipmode-n_name-ps_availqty,59338
l_shipmode-n_name-ps_supplycost,201319
l_shipmode-n_nationkey-ps_availqty,58980
l_shipmode-n_nationkey-ps_supplycost,202091
l_shipmode-n_regionkey-ps_availqty,58457
l_shipmode-n_regionkey-ps_supplycost,204387
l_commitdate-n_name-r_name,70197
l_commitdate-n_name-r_regionkey,52311
l_commitdate-n_nationkey-r_name,44708
l_commitdate-n_nationkey-r_regionkey,52914
l_commitdate-n_regionkey-r_name,51237
l_commitdate-n_regionkey-r_regionkey,52064
l_discount-n_name-r_name,30877
l_discount-n_name-r_regionkey,31649
l_discount-n_nationkey-r_name,31359
l_discount-n_nationkey-r_regionkey,31198
l_discount-n_regionkey-r_name,30276
l_discount-n_regionkey-r_regionkey,32428
l_quantity-n_name-r_name,32260
l_quantity-n_name-r_regionkey,31096
l_quantity-n_nationkey-r_name,30314
l_quantity-n_nationkey-r_regionkey,30195
l_quantity-n_regionkey-r_name,32051
l_quantity-n_regionkey-r_regionkey,31565
l_receiptdate-n_name-r_name,64765
l_receiptdate-n_name-r_regionkey,45261
l_receiptdate-n_nationkey-r_name,51198
l_receiptdate-n_nationkey-r_regionkey,44676
l_receiptdate-n_regionkey-r_name,52494
l_receiptdate-n_regionkey-r_regionkey,49364
l_returnflag-n_name-r_name,29453
l_returnflag-n_name-r_regionkey,29755
l_returnflag-n_nationkey-r_name,30037
l_returnflag-n_nationkey-r_regionkey,29969
l_returnflag-n_regionkey-r_name,28084
l_returnflag-n_regionkey-r_regionkey,29729
l_shipdate-n_name-r_name,51393
l_shipdate-n_name-r_regionkey,48467
l_shipdate-n_nationkey-r_name,46999
l_shipdate-n_nationkey-r_regionkey,46403
l_shipdate-n_regionkey-r_name,42587
l_shipdate-n_regionkey-r_regionkey,46308
l_shipinstruct-n_name-r_name,34430
l_shipinstruct-n_name-r_regionkey,33958
l_shipinstruct-n_nationkey-r_name,29437
l_shipinstruct-n_nationkey-r_regionkey,34639
l_shipinstruct-n_regionkey-r_name,33441
l_shipinstruct-n_regionkey-r_regionkey,33557
l_shipmode-n_name-r_name,29958
l_shipmode-n_name-r_regionkey,29409
l_shipmode-n_nationkey-r_name,34801
l_shipmode-n_nationkey-r_regionkey,35284
l_shipmode-n_regionkey-r_name,30254
l_shipmode-n_regionkey-r_regionkey,30869
l_commitdate-n_name-s_nationkey,54529
l_commitdate-n_nationkey-s_nationkey,55116
l_commitdate-n_regionkey-s_nationkey,44784
l_discount-n_name-s_nationkey,29907
l_discount-n_nationkey-s_nationkey,30373
l_discount-n_regionkey-s_nationkey,30099
l_quantity-n_name-s_nationkey,30844
l_quantity-n_nationkey-s_nationkey,30646
l_quantity-n_regionkey-s_nationkey,32374
l_receiptdate-n_name-s_nationkey,52566
l_receiptdate-n_nationkey-s_nationkey,50696
l_receiptdate-n_regionkey-s_nationkey,44584
l_returnflag-n_name-s_nationkey,29933
l_returnflag-n_nationkey-s_nationkey,31386
l_returnflag-n_regionkey-s_nationkey,31196
l_shipdate-n_name-s_nationkey,52444
l_shipdate-n_nationkey-s_nationkey,42316
l_shipdate-n_regionkey-s_nationkey,48486
l_shipinstruct-n_name-s_nationkey,32921
l_shipinstruct-n_nationkey-s_nationkey,33378
l_shipinstruct-n_regionkey-s_nationkey,32848
l_shipmode-n_name-s_nationkey,36703
l_shipmode-n_nationkey-s_nationkey,29307
l_shipmode-n_regionkey-s_nationkey,28314
l_commitdate-o_orderdate-p_brand,68340
l_commitdate-o_orderdate-p_container,51115
l_commitdate-o_orderdate-p_size,61562
l_commitdate-o_orderdate-p_type,53006
l_commitdate-o_orderpriority-p_brand,51365
l_commitdate-o_orderpriority-p_container,44725
l_commitdate-o_orderpriority-p_size,52430
l_commitdate-o_orderpriority-p_type,56590
l_commitdate-o_orderstatus-p_brand,51789
l_commitdate-o_orderstatus-p_container,45834
l_commitdate-o_orderstatus-p_size,54379
l_commitdate-o_orderstatus-p_type,45268
l_discount-o_orderdate-p_brand,37599
l_discount-o_orderdate-p_container,38825
l_discount-o_orderdate-p_size,38956
l_discount-o_orderdate-p_type,39590
l_discount-o_orderpriority-p_brand,37949
l_discount-o_orderpriority-p_container,29736
l_discount-o_orderpriority-p_size,30276
l_discount-o_orderpriority-p_type,30770
l_discount-o_orderstatus-p_brand,30403
l_discount-o_orderstatus-p_container,31287
l_discount-o_orderstatus-p_size,31749
l_discount-o_orderstatus-p_type,32560
l_quantity-o_orderdate-p_brand,39360
l_quantity-o_orderdate-p_container,38580
l_quantity-o_orderdate-p_size,38428
l_quantity-o_orderdate-p_type,48542
l_quantity-o_orderpriority-p_brand,29266
l_quantity-o_orderpriority-p_container,30535
l_quantity-o_orderpriority-p_size,30529
l_quantity-o_orderpriority-p_type,30966
l_quantity-o_orderstatus-p_brand,29780
l_quantity-o_orderstatus-p_container,32140
l_quantity-o_orderstatus-p_size,30999
l_quantity-o_orderstatus-p_type,31008
l_receiptdate-o_orderdate-p_brand,70673
l_receiptdate-o_orderdate-p_container,50628
l_receiptdate-o_orderdate-p_size,61962
l_receiptdate-o_orderdate-p_type,51250
l_receiptdate-o_orderpriority-p_brand,55113
l_receiptdate-o_orderpriority-p_container,52376
l_receiptdate-o_orderpriority-p_size,44319
l_receiptdate-o_orderpriority-p_type,52833
l_receiptdate-o_orderstatus-p_brand,44871
l_receiptdate-o_orderstatus-p_container,53917
l_receiptdate-o_orderstatus-p_size,44431
l_receiptdate-o_orderstatus-p_type,54009
l_returnflag-o_orderdate-p_brand,35789
l_returnflag-o_orderdate-p_container,37019
l_returnflag-o_orderdate-p_size,43897
l_returnflag-o_orderdate-p_type,36287
l_returnflag-o_orderpriority-p_brand,29307
l_returnflag-o_orderpriority-p_container,31290
l_returnflag-o_orderpriority-p_size,30785
l_returnflag-o_orderpriority-p_type,30820
l_returnflag-o_orderstatus-p_brand,30863
l_returnflag-o_orderstatus-p_container,30651
l_returnflag-o_orderstatus-p_size,31114
l_returnflag-o_orderstatus-p_type,32269
l_shipdate-o_orderdate-p_brand,53584
l_shipdate-o_orderdate-p_container,58499
l_shipdate-o_orderdate-p_size,56592
l_shipdate-o_orderdate-p_type,55547
l_shipdate-o_orderpriority-p_brand,50647
l_shipdate-o_orderpriority-p_container,42202
l_shipdate-o_orderpriority-p_size,49840
l_shipdate-o_orderpriority-p_type,42065
l_shipdate-o_orderstatus-p_brand,52814
l_shipdate-o_orderstatus-p_container,43325
l_shipdate-o_orderstatus-p_size,62380
l_shipdate-o_orderstatus-p_type,42214
l_shipinstruct-o_orderdate-p_brand,41891
l_shipinstruct-o_orderdate-p_container,36546
l_shipinstruct-o_orderdate-p_size,40549
l_shipinstruct-o_orderdate-p_type,43045
l_shipinstruct-o_orderpriority-p_brand,28549
l_shipinstruct-o_orderpriority-p_container,42193
l_shipinstruct-o_orderpriority-p_size,33049
l_shipinstruct-o_orderpriority-p_type,33402
l_shipinstruct-o_orderstatus-p_brand,33436
l_shipinstruct-o_orderstatus-p_container,30175
l_shipinstruct-o_orderstatus-p_size,33131
l_shipinstruct-o_orderstatus-p_type,35166
l_shipmode-o_orderdate-p_brand,37629
l_shipmode-o_orderdate-p_container,43479
l_shipmode-o_orderdate-p_size,37708
l_shipmode-o_orderdate-p_type,37638
l_shipmode-o_orderpriority-p_brand,36663
l_shipmode-o_orderpriority-p_container,30699
l_shipmode-o_orderpriority-p_size,36187
l_shipmode-o_orderpriority-p_type,37914
l_shipmode-o_orderstatus-p_brand,32915
l_shipmode-o_orderstatus-p_container,39435
l_shipmode-o_orderstatus-p_size,33258
l_shipmode-o_orderstatus-p_type,33878
l_commitdate-o_orderdate-ps_availqty,102934
l_commitdate-o_orderdate-ps_supplycost,305354
l_commitdate-o_orderpriority-ps_availqty,82083
l_commitdate-o_orderpriority-ps_supplycost,220135
l_commitdate-o_orderstatus-ps_availqty,82648
l_commitdate-o_orderstatus-ps_supplycost,237627
l_discount-o_orderdate-ps_availqty,70525
l_discount-o_orderdate-ps_supplycost,203351
l_discount-o_orderpriority-ps_availqty,60489
l_discount-o_orderpriority-ps_supplycost,194536
l_discount-o_orderstatus-ps_availqty,58793
l_discount-o_orderstatus-ps_supplycost,194753
l_quantity-o_orderdate-ps_availqty,64258
l_quantity-o_orderdate-ps_supplycost,201361
l_quantity-o_orderpriority-ps_availqty,64178
l_quantity-o_orderpriority-ps_supplycost,202877
l_quantity-o_orderstatus-ps_availqty,58832
l_quantity-o_orderstatus-ps_supplycost,203569
l_receiptdate-o_orderdate-ps_availqty,97555
l_receiptdate-o_orderdate-ps_supplycost,223937
l_receiptdate-o_orderpriority-ps_availqty,83393
l_receiptdate-o_orderpriority-ps_supplycost,220950
l_receiptdate-o_orderstatus-ps_availqty,74284
l_receiptdate-o_orderstatus-ps_supplycost,218945
l_returnflag-o_orderdate-ps_availqty,67599
l_returnflag-o_orderdate-ps_supplycost,201723
l_returnflag-o_orderpriority-ps_availqty,60043
l_returnflag-o_orderpriority-ps_supplycost,194364
l_returnflag-o_orderstatus-ps_availqty,59853
l_returnflag-o_orderstatus-ps_supplycost,194802
l_shipdate-o_orderdate-ps_availqty,98944
l_shipdate-o_orderdate-ps_supplycost,223777
l_shipdate-o_orderpriority-ps_availqty,81014
l_shipdate-o_orderpriority-ps_supplycost,221477
l_shipdate-o_orderstatus-ps_availqty,78433
l_shipdate-o_orderstatus-ps_supplycost,217322
l_shipinstruct-o_orderdate-ps_availqty,67994
l_shipinstruct-o_orderdate-ps_supplycost,205073
l_shipinstruct-o_orderpriority-ps_availqty,62232
l_shipinstruct-o_orderpriority-ps_supplycost,199287
l_shipinstruct-o_orderstatus-ps_availqty,69070
l_shipinstruct-o_orderstatus-ps_supplycost,199237
l_shipmode-o_orderdate-ps_availqty,79301
l_shipmode-o_orderdate-ps_supplycost,201334
l_shipmode-o_orderpriority-ps_availqty,59222
l_shipmode-o_orderpriority-ps_supplycost,194861
l_shipmode-o_orderstatus-ps_availqty,58583
l_shipmode-o_orderstatus-ps_supplycost,199257
l_commitdate-o_orderdate-r_name,83244
l_commitdate-o_orderdate-r_regionkey,52284
l_commitdate-o_orderpriority-r_name,52590
l_commitdate-o_orderpriority-r_regionkey,52967
l_commitdate-o_orderstatus-r_name,51227
l_commitdate-o_orderstatus-r_regionkey,47437
l_discount-o_orderdate-r_name,37410
l_discount-o_orderdate-r_regionkey,37071
l_discount-o_orderpriority-r_name,30957
l_discount-o_orderpriority-r_regionkey,29890
l_discount-o_orderstatus-r_name,32319
l_discount-o_orderstatus-r_regionkey,30976
l_quantity-o_orderdate-r_name,45789
l_quantity-o_orderdate-r_regionkey,36565
l_quantity-o_orderpriority-r_name,30150
l_quantity-o_orderpriority-r_regionkey,28483
l_quantity-o_orderstatus-r_name,31476
l_quantity-o_orderstatus-r_regionkey,42834
l_receiptdate-o_orderdate-r_name,69861
l_receiptdate-o_orderdate-r_regionkey,58185
l_receiptdate-o_orderpriority-r_name,45022
l_receiptdate-o_orderpriority-r_regionkey,56040
l_receiptdate-o_orderstatus-r_name,44027
l_receiptdate-o_orderstatus-r_regionkey,51757
l_returnflag-o_orderdate-r_name,43506
l_returnflag-o_orderdate-r_regionkey,37280
l_returnflag-o_orderpriority-r_name,29824
l_returnflag-o_orderpriority-r_regionkey,29584
l_returnflag-o_orderstatus-r_name,30501
l_returnflag-o_orderstatus-r_regionkey,31160
l_shipdate-o_orderdate-r_name,68594
l_shipdate-o_orderdate-r_regionkey,58578
l_shipdate-o_orderpriority-r_name,40822
l_shipdate-o_orderpriority-r_regionkey,50425
l_shipdate-o_orderstatus-r_name,41929
l_shipdate-o_orderstatus-r_regionkey,49395
l_shipinstruct-o_orderdate-r_name,35212
l_shipinstruct-o_orderdate-r_regionkey,36264
l_shipinstruct-o_orderpriority-r_name,29806
l_shipinstruct-o_orderpriority-r_regionkey,33340
l_shipinstruct-o_orderstatus-r_name,35188
l_shipinstruct-o_orderstatus-r_regionkey,34404
l_shipmode-o_orderdate-r_name,35995
l_shipmode-o_orderdate-r_regionkey,37273
l_shipmode-o_orderpriority-r_name,35809
l_shipmode-o_orderpriority-r_regionkey,33932
l_shipmode-o_orderstatus-r_name,30121
l_shipmode-o_orderstatus-r_regionkey,28619
l_commitdate-o_orderdate-s_nationkey,62959
l_commitdate-o_orderpriority-s_nationkey,45637
l_commitdate-o_orderstatus-s_nationkey,55025
l_discount-o_orderdate-s_nationkey,37105
l_discount-o_orderpriority-s_nationkey,31119
l_discount-o_orderstatus-s_nationkey,30187
l_quantity-o_orderdate-s_nationkey,36630
l_quantity-o_orderpriority-s_nationkey,39518
l_quantity-o_orderstatus-s_nationkey,30017
l_receiptdate-o_orderdate-s_nationkey,51863
l_receiptdate-o_orderpriority-s_nationkey,44575
l_receiptdate-o_orderstatus-s_nationkey,50636
l_returnflag-o_orderdate-s_nationkey,36643
l_returnflag-o_orderpriority-s_nationkey,30246
l_returnflag-o_orderstatus-s_nationkey,29869
l_shipdate-o_orderdate-s_nationkey,48318
l_shipdate-o_orderpriority-s_nationkey,50638
l_shipdate-o_orderstatus-s_nationkey,42192
l_shipinstruct-o_orderdate-s_nationkey,35975
l_shipinstruct-o_orderpriority-s_nationkey,32590
l_shipinstruct-o_orderstatus-s_nationkey,34245
l_shipmode-o_orderdate-s_nationkey,36459
l_shipmode-o_orderpriority-s_nationkey,29240
l_shipmode-o_orderstatus-s_nationkey,31282
l_commitdate-p_brand-ps_availqty,91902
l_commitdate-p_brand-ps_supplycost,289591
l_commitdate-p_container-ps_availqty,74453
l_commitdate-p_container-ps_supplycost,221648
l_commitdate-p_size-ps_availqty,82640
l_commitdate-p_size-ps_supplycost,216873
l_commitdate-p_type-ps_availqty,80250
l_commitdate-p_type-ps_supplycost,218481
l_discount-p_brand-ps_availqty,60641
l_discount-p_brand-ps_supplycost,203138
l_discount-p_container-ps_availqty,59304
l_discount-p_container-ps_supplycost,197393
l_discount-p_size-ps_availqty,59664
l_discount-p_size-ps_supplycost,195425
l_discount-p_type-ps_availqty,67837
l_discount-p_type-ps_supplycost,194201
l_quantity-p_brand-ps_availqty,58829
l_quantity-p_brand-ps_supplycost,195829
l_quantity-p_container-ps_availqty,67841
l_quantity-p_container-ps_supplycost,204910
l_quantity-p_size-ps_availqty,58899
l_quantity-p_size-ps_supplycost,203750
l_quantity-p_type-ps_availqty,61933
l_quantity-p_type-ps_supplycost,205317
l_receiptdate-p_brand-ps_availqty,82004
l_receiptdate-p_brand-ps_supplycost,238569
l_receiptdate-p_container-ps_availqty,74700
l_receiptdate-p_container-ps_supplycost,216093
l_receiptdate-p_size-ps_availqty,73676
l_receiptdate-p_size-ps_supplycost,217854
l_receiptdate-p_type-ps_availqty,85191
l_receiptdate-p_type-ps_supplycost,223964
l_returnflag-p_brand-ps_availqty,59919
l_returnflag-p_brand-ps_supplycost,194652
l_returnflag-p_container-ps_availqty,59647
l_returnflag-p_container-ps_supplycost,196103
l_returnflag-p_size-ps_availqty,59543
l_returnflag-p_size-ps_supplycost,194134
l_returnflag-p_type-ps_availqty,59950
l_returnflag-p_type-ps_supplycost,194852
l_shipdate-p_brand-ps_availqty,93404
l_shipdate-p_brand-ps_supplycost,214226
l_shipdate-p_container-ps_availqty,76418
l_shipdate-p_container-ps_supplycost,216195
l_shipdate-p_size-ps_availqty,78317
l_shipdate-p_size-ps_supplycost,216688
l_shipdate-p_type-ps_availqty,81477
l_shipdate-p_type-ps_supplycost,216474
l_shipinstruct-p_brand-ps_availqty,61669
l_shipinstruct-p_brand-ps_supplycost,199179
l_shipinstruct-p_container-ps_availqty,63099
l_shipinstruct-p_container-ps_supplycost,197514
l_shipinstruct-p_size-ps_availqty,58242
l_shipinstruct-p_size-ps_supplycost,200031
l_shipinstruct-p_type-ps_availqty,58999
l_shipinstruct-p_type-ps_supplycost,198112
l_shipmode-p_brand-ps_availqty,64364
l_shipmode-p_brand-ps_supplycost,199690
l_shipmode-p_container-ps_availqty,58873
l_shipmode-p_container-ps_supplycost,194436
l_shipmode-p_size-ps_availqty,63342
l_shipmode-p_size-ps_supplycost,210347
l_shipmode-p_type-ps_availqty,59721
l_shipmode-p_type-ps_supplycost,201399
l_commitdate-p_brand-r_name,80083
l_commitdate-p_brand-r_regionkey,52131
l_commitdate-p_container-r_name,54138
l_commitdate-p_container-r_regionkey,44060
l_commitdate-p_size-r_name,53875
l_commitdate-p_size-r_regionkey,46432
l_commitdate-p_type-r_name,53559
l_commitdate-p_type-r_regionkey,45911
l_discount-p_brand-r_name,31951
l_discount-p_brand-r_regionkey,30305
l_discount-p_container-r_name,31557
l_discount-p_container-r_regionkey,32238
l_discount-p_size-r_name,37176
l_discount-p_size-r_regionkey,32932
l_discount-p_type-r_name,31125
l_discount-p_type-r_regionkey,33391
l_quantity-p_brand-r_name,32845
l_quantity-p_brand-r_regionkey,37981
l_quantity-p_container-r_name,29833
l_quantity-p_container-r_regionkey,30061
l_quantity-p_size-r_name,30402
l_quantity-p_size-r_regionkey,29734
l_quantity-p_type-r_name,31431
l_quantity-p_type-r_regionkey,31238
l_receiptdate-p_brand-r_name,64834
l_receiptdate-p_brand-r_regionkey,43987
l_receiptdate-p_container-r_name,61123
l_receiptdate-p_container-r_regionkey,44317
l_receiptdate-p_size-r_name,52113
l_receiptdate-p_size-r_regionkey,56466
l_receiptdate-p_type-r_name,44122
l_receiptdate-p_type-r_regionkey,45028
l_returnflag-p_brand-r_name,45747
l_returnflag-p_brand-r_regionkey,30042
l_returnflag-p_container-r_name,31106
l_returnflag-p_container-r_regionkey,29673
l_returnflag-p_size-r_name,30601
l_returnflag-p_size-r_regionkey,29882
l_returnflag-p_type-r_name,32368
l_returnflag-p_type-r_regionkey,31503
l_shipdate-p_brand-r_name,62173
l_shipdate-p_brand-r_regionkey,41827
l_shipdate-p_container-r_name,48262
l_shipdate-p_container-r_regionkey,42037
l_shipdate-p_size-r_name,48522
l_shipdate-p_size-r_regionkey,42308
l_shipdate-p_type-r_name,49272
l_shipdate-p_type-r_regionkey,41700
l_shipinstruct-p_brand-r_name,30148
l_shipinstruct-p_brand-r_regionkey,32269
l_shipinstruct-p_container-r_name,30440
l_shipinstruct-p_container-r_regionkey,29227
l_shipinstruct-p_size-r_name,33313
l_shipinstruct-p_size-r_regionkey,30540
l_shipinstruct-p_type-r_name,33862
l_shipinstruct-p_type-r_regionkey,35451
l_shipmode-p_brand-r_name,30086
l_shipmode-p_brand-r_regionkey,30967
l_shipmode-p_container-r_name,31323
l_shipmode-p_container-r_regionkey,30988
l_shipmode-p_size-r_name,36834
l_shipmode-p_size-r_regionkey,30423
l_shipmode-p_type-r_name,33067
l_shipmode-p_type-r_regionkey,31708
l_commitdate-p_brand-s_nationkey,57350
l_commitdate-p_container-s_nationkey,52089
l_commitdate-p_size-s_nationkey,53869
l_commitdate-p_type-s_nationkey,45349
l_discount-p_brand-s_nationkey,30937
l_discount-p_container-s_nationkey,30975
l_discount-p_size-s_nationkey,31282
l_discount-p_type-s_nationkey,31491
l_quantity-p_brand-s_nationkey,30561
l_quantity-p_container-s_nationkey,30052
l_quantity-p_size-s_nationkey,31018
l_quantity-p_type-s_nationkey,30957
l_receiptdate-p_brand-s_nationkey,54250
l_receiptdate-p_container-s_nationkey,52119
l_receiptdate-p_size-s_nationkey,45880
l_receiptdate-p_type-s_nationkey,52781
l_returnflag-p_brand-s_nationkey,30649
l_returnflag-p_container-s_nationkey,29813
l_returnflag-p_size-s_nationkey,31599
l_returnflag-p_type-s_nationkey,38669
l_shipdate-p_brand-s_nationkey,42555
l_shipdate-p_container-s_nationkey,49414
l_shipdate-p_size-s_nationkey,41345
l_shipdate-p_type-s_nationkey,51598
l_shipinstruct-p_brand-s_nationkey,33688
l_shipinstruct-p_container-s_nationkey,33689
l_shipinstruct-p_size-s_nationkey,32829
l_shipinstruct-p_type-s_nationkey,33574
l_shipmode-p_brand-s_nationkey,28750
l_shipmode-p_container-s_nationkey,29090
l_shipmode-p_size-s_nationkey,29455
l_shipmode-p_type-s_nationkey,36432
l_commitdate-ps_availqty-r_name,103621
l_commitdate-ps_availqty-r_regionkey,75767
l_commitdate-ps_supplycost-r_name,291988
l_commitdate-ps_supplycost-r_regionkey,220259
l_discount-ps_availqty-r_name,59941
l_discount-ps_availqty-r_regionkey,59155
l_discount-ps_supplycost-r_name,204654
l_discount-ps_supplycost-r_regionkey,195822
l_quantity-ps_availqty-r_name,58526
l_quantity-ps_availqty-r_regionkey,58045
l_quantity-ps_supplycost-r_name,204790
l_quantity-ps_supplycost-r_regionkey,193343
l_receiptdate-ps_availqty-r_name,100382
l_receiptdate-ps_availqty-r_regionkey,83252
l_receiptdate-ps_supplycost-r_name,219905
l_receiptdate-ps_supplycost-r_regionkey,218909
l_returnflag-ps_availqty-r_name,58838
l_returnflag-ps_availqty-r_regionkey,68217
l_returnflag-ps_supplycost-r_name,195395
l_returnflag-ps_supplycost-r_regionkey,195137
l_shipdate-ps_availqty-r_name,93453
l_shipdate-ps_availqty-r_regionkey,71184
l_shipdate-ps_supplycost-r_name,220570
l_shipdate-ps_supplycost-r_regionkey,217703
l_shipinstruct-ps_availqty-r_name,62944
l_shipinstruct-ps_availqty-r_regionkey,62286
l_shipinstruct-ps_supplycost-r_name,223245
l_shipinstruct-ps_supplycost-r_regionkey,195930
l_shipmode-ps_availqty-r_name,60802
l_shipmode-ps_availqty-r_regionkey,58549
l_shipmode-ps_supplycost-r_name,194332
l_shipmode-ps_supplycost-r_regionkey,195151
l_commitdate-ps_availqty-s_nationkey,94197
l_commitdate-ps_supplycost-s_nationkey,221045
l_discount-ps_availqty-s_nationkey,60033
l_discount-ps_supplycost-s_nationkey,211456
l_quantity-ps_availqty-s_nationkey,57794
l_quantity-ps_supplycost-s_nationkey,206183
l_receiptdate-ps_availqty-s_nationkey,94182
l_receiptdate-ps_supplycost-s_nationkey,219555
l_returnflag-ps_availqty-s_nationkey,59072
l_returnflag-ps_supplycost-s_nationkey,220383
l_shipdate-ps_availqty-s_nationkey,88066
l_shipdate-ps_supplycost-s_nationkey,217460
l_shipinstruct-ps_availqty-s_nationkey,63361
l_shipinstruct-ps_supplycost-s_nationkey,200611
l_shipmode-ps_availqty-s_nationkey,59604
l_shipmode-ps_supplycost-s_nationkey,199001
l_commitdate-r_name-s_nationkey,67019
l_commitdate-r_regionkey-s_nationkey,44779
l_discount-r_name-s_nationkey,30446
l_discount-r_regionkey-s_nationkey,30685
l_quantity-r_name-s_nationkey,29626
l_quantity-r_regionkey-s_nationkey,30452
l_receiptdate-r_name-s_nationkey,56097
l_receiptdate-r_regionkey-s_nationkey,53793
l_returnflag-r_name-s_nationkey,29842
l_returnflag-r_regionkey-s_nationkey,31519
l_shipdate-r_name-s_nationkey,53476
l_shipdate-r_regionkey-s_nationkey,41774
l_shipinstruct-r_name-s_nationkey,33799
l_shipinstruct-r_regionkey-s_nationkey,33368
l_shipmode-r_name-s_nationkey,30740
l_shipmode-r_regionkey-s_nationkey,28949
n_name-o_orderdate-p_brand,48215
n_name-o_orderdate-p_container,40631
n_name-o_orderdate-p_size,49822
n_name-o_orderdate-p_type,39813
n_name-o_orderpriority-p_brand,32899
n_name-o_orderpriority-p_container,33032
n_name-o_orderpriority-p_size,34162
n_name-o_orderpriority-p_type,33051
n_name-o_orderstatus-p_brand,34387
n_name-o_orderstatus-p_container,33994
n_name-o_orderstatus-p_size,35025
n_name-o_orderstatus-p_type,34632
n_nationkey-o_orderdate-p_brand,40044
n_nationkey-o_orderdate-p_container,52004
n_nationkey-o_orderdate-p_size,40111
n_nationkey-o_orderdate-p_type,39394
n_nationkey-o_orderpriority-p_brand,34352
n_nationkey-o_orderpriority-p_container,33729
n_nationkey-o_orderpriority-p_size,32734
n_nationkey-o_orderpriority-p_type,33483
n_nationkey-o_orderstatus-p_brand,33285
n_nationkey-o_orderstatus-p_container,33643
n_nationkey-o_orderstatus-p_size,44515
n_nationkey-o_orderstatus-p_type,32593
n_regionkey-o_orderdate-p_brand,39953
n_regionkey-o_orderdate-p_container,39586
n_regionkey-o_orderdate-p_size,39136
n_regionkey-o_orderdate-p_type,40771
n_regionkey-o_orderpriority-p_brand,34119
n_regionkey-o_orderpriority-p_container,34728
n_regionkey-o_orderpriority-p_size,34657
n_regionkey-o_orderpriority-p_type,33529
n_regionkey-o_orderstatus-p_brand,34936
n_regionkey-o_orderstatus-p_container,35036
n_regionkey-o_orderstatus-p_size,34942
n_regionkey-o_orderstatus-p_type,35233
n_name-o_orderdate-ps_availqty,67937
n_name-o_orderdate-ps_supplycost,260385
n_name-o_orderpriority-ps_availqty,62097
n_name-o_orderpriority-ps_supplycost,199977
n_name-o_orderstatus-ps_availqty,60875
n_name-o_orderstatus-ps_supplycost,198528
n_nationkey-o_orderdate-ps_availqty,79063
n_nationkey-o_orderdate-ps_supplycost,204561
n_nationkey-o_orderpriority-ps_availqty,62393
n_nationkey-o_orderpriority-ps_supplycost,199239
n_nationkey-o_orderstatus-ps_availqty,61488
n_nationkey-o_orderstatus-ps_supplycost,199635
n_regionkey-o_orderdate-ps_availqty,70067
n_regionkey-o_orderdate-ps_supplycost,205588
n_regionkey-o_orderpriority-ps_availqty,61985
n_regionkey-o_orderpriority-ps_supplycost,198610
n_regionkey-o_orderstatus-ps_availqty,60915
n_regionkey-o_orderstatus-ps_supplycost,197748
n_name-o_orderdate-r_name,40368
n_name-o_orderdate-r_regionkey,46688
n_name-o_orderpriority-r_name,31639
n_name-o_orderpriority-r_regionkey,32938
n_name-o_orderstatus-r_name,32272
n_name-o_orderstatus-r_regionkey,33407
n_nationkey-o_orderdate-r_name,48083
n_nationkey-o_orderdate-r_regionkey,40259
n_nationkey-o_orderpriority-r_name,33195
n_nationkey-o_orderpriority-r_regionkey,33512
n_nationkey-o_orderstatus-r_name,33148
n_nationkey-o_orderstatus-r_regionkey,33344
n_regionkey-o_orderdate-r_name,49244
n_regionkey-o_orderdate-r_regionkey,38647
n_regionkey-o_orderpriority-r_name,32586
n_regionkey-o_orderpriority-r_regionkey,32428
n_regionkey-o_orderstatus-r_name,34246
n_regionkey-o_orderstatus-r_regionkey,33234
n_name-o_orderdate-s_nationkey,42047
n_name-o_orderpriority-s_nationkey,33593
